D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE N+ NITRITEN,FECAL COLIFORM,TOTAL COLIFORM
6,7.6,429,1.1,1.1,3,362
6,7.8,308,1.1,1.47,3,343
5.8,7.4,505,0.6,0.73,4,1517
6.1,7.5,465,0.5,0.34,4,1458
6.4,7.1,183,2.3,0.62,209,398
7.1,7.4,135,1.9,0.72,419,995
6.7,7.2,103,1, ,11,70
6.8,7.1,106,1, ,13,137
7.8,7.9,213,1.5,0.35,7742,15083
7.7,8.1,312,2,0.75,12675,32017
6.9,7.6,99,1.6,1.39,3066,5395
7.3,8,230,1.6,0.69,2346,4348
6.8,8.1,264,2.6,1.16,2428,5142
7.2,8.1,272,3.1,1.46,2196,4586
8,8.3,312,1.4,0.73,1618,4319
8.2,8,19595,2,0.94,624,1116
7,8,199,1.8,1.11,1503,3573
7.2,8.1,201,1.6,0.36,1239,2324
6.8,7.8,505,2.1,0.02, , 
6.5,7.9,11170,3,0.3, , 
6.9,7.4,4990,3,0.37, , 
6.8,8.1,1516, ,0.28, , 
6,7.3,44600, ,0.23, , 
6.8,7.5,890,2.1,0.51,274,589
7.3,7.6,160,1.9,0.06,32,89
7,7.7,111,2.2,0.08,53,131
6.7,7.7,139,3.1,0.22,123,300
7.2,7.2,288,2.1,0.14,33,91
7,7.1,95,1.9,0.08,47,118
7,7.5,84,1.7,0.06,32,87
7.4,7,3101,15.6,0.15,76,174
7.2,7.3,510,2.9,0.08,46,123
7.1,7.4,88,1.8,0.07,34,90
7.2,6.9,338,3.8,0.07,44,104
6.7,7.6,162,3.3,0.16,90,249
6.7,7.6,182,4.1,0.15,92,251
0.2,7.2,2219,185.8,1.75,180000000,300000000
6.8,8,414,3.1,0.88, , 
5.5,7.4,635,8.8,5.08,1400,5500
5.5,7.4,1051,25,6.8,32000,63000
5.3,7.3,636,9.9,5,2150,10000
5.1,7.4,993,21.9,6.63,36250,57750
5.3,7.5,632,13.5,5.08,20000,34750
4.9,7.4,973,17.5,4.77,22000,40667
4.3,7.5,1156,24.5,7.65,33750,65000
4.8,7.4,904,26,8.6,31750,55000
5.1,7.4,1110,16,14.85,3475,12000
5.3,7.4,1290,26.9,8.1,36250,66250
4.9,7.4,990,27.8,6.78,19000,40500
5.2,7.4,914,20.5,6.18,14750,29500
6.4,7.9,1808,21,5.9, , 
6.6,7.8,1302,18, , , 
6.4,8,1286,19.5, , , 
4.8,7.5,280,2.4,0.72,3,4
7.7,7.4,344,1.2,0.37,9,19
7.3,7,310,1.4,0.38,13,22
7.1,7.7,303,1.5,0.34,13,23
3.3,7.5,1630,185,1.75, , 
6.2,7.5,788,41.5,4.08,105,235
6,8.3,468,1.4,0.43,5,16
5.9,7.3,234,1.5,0.36,4,12
6.4,8,527,1.2,0.35,5,21
5.9,7.9,796,1.5,0.48,4,14
7.3,7.4,388,2.1,0.58, ,46
8.5,7.5,166,2.7,,,31
8.9,7,125,1.9,,,45
8,7.8,144,2.1,,,51
7.5,7.7,87,1.2,,,54
8.5,7.6,84,2,,,16
8.4,7.5,103,1.9,,,75
8.7,7.2,117,3.2,,,52
6.5,7.7,287,8.2,,,114
8.6,7.5,130,4.6,,,39
8.9,7.5,109,1.2,,,33
9.8,8.4,246,1.2,,,10
7.6,7.5,147,1.3,,,30
8.7,7.6,202,1.2,,,60
8.4,7.4,177,2.4,,,48
8.7,7.6,203,2.5,,,59
8.2,7.4,120,1.9,,,46
8,7.2,110,1.4,,,80
8.4,7.6,213,1.5,,,20
9.4,7.8,174,1,,,16
8.1,8,244,2.4,,,73
8.1,8,162,1.8,,,26
8.7,7.6,163,2.6,,,24
8.7,7.6,143,1.9,,,58
9.2,7.6,208,1.9,,,30
8.3,7.7,158,2,,,48
5.9,7.1,338,6.6,,,522
4.3,7.4,269,12.3,,,412
8.2,7.1,109,3.3,,,12
11.1,7.6,131,3.6,,,32
7.4,7.1,116,2.7,,,55
8.2,7.6,112,2.1,,,31
8.5,7.5,169,3.6,,,41
11.4,7.2,128,1,,,20
8.9,7.6,221,1.7,,,30
9.3,7.6,193,2.3,,,41
9.1,7.3,217,3.9,,,67
7.9,7.3,131,0.8,,,38
8.7,7.4,176,2.2,,,36
8.1,7.3,199,2.2,,,56
8.2,7.4,170,2.2,,,39
7.7,7.2,95,1.8,2.67,22,50
7.6,7.2,92,2.5,2.41,20,45
9.9,7.2,65,1.5,2.31,21,55
7.6,7.4,93,2.1,2.89,276,408
5.5,2.9,568,6.8,1.12,18,33
7.6,7,42,1.3,3.01,11,27
7.7,7.1,45,1.4,2.89,9,22
8.3,7,59,1.7,2.86,16,33
6.9,2.6,1072,3.2,1.17,3,21
7.7,6.3,250,2.1,3.88,180,326
8.8,7.3,37,1.5,1.62,15,35
7.3,7.3,72,2,1.65,17,36
7.5,7,38,1.7,2.2,18,40
7.8,7.1,44,1.6,2.62,15,33
7,7,100,2.4,3.03,1967,2600
7.5,6.3,52,1.7,0.82,7,21
6.4,6.9,61,2.6,3.88,227,538
7.5,7.1,39,1.4,2.88,12,22
8,7.1,41,1.4,3.35,10,25
7.9,7.3,93,1.7,5.02,295,418
7.5,6.9,69,1.9,4.92,20,49
7.9,7.2,46,1.7,2.72,20,45
8,7.2,42,1.4,2.47,5,31
7.7,7.1,101,1.5,3.42,16,43
7.2,7.1,49,1.6,2.86,17,40
8.2,7.1,49,1.2,2.81,15,32
7.8,7.1,58,1.5,2.97,19,43
3.9,7.1,235,16.9,16.61,16500,23000
4.9,7.1,182,14.2,11.61,10417,15500
2.7,7.1,281,35.4,14.84,41000,62667
2.5,7.1,382,37.2,11.81,53083,87167
8,7,48,1.4,3.8,17,41
8.4,7.1,48,1.2,3.08,18,45
6.8,6.6,49,1.9,3.07,18,38
2.1,7,286,45.6,10.61,51250,84500
4,7.1,194,22.4,10.47,29500,45250
7.7,7.2,107,6.6,3.02,285,425
7.6,7.1,51,2,2.6,37,81
7.7,7.1,46,1.6,3.93,8,22
7.7,7.1,49,1.9,3.89,11,26
6.5,7.4,297,1,0.13,26,438
6.3,7.5,287,0.9,0.14,5,204
6.5,7.2,375,1.1,0.17,33,625
6.9,6.9,349,1.1,0.18,38,503
6.6,7.8,165,1.6, ,268,316
6.4,8,155,3.9,0.5,512,516
6.5,8,168,4.2,0.99,488,616
6.7,7.7,218,5,1.31,,
4.2,7.9,4909,18,7,,
4.6,8,23576,158.8,6.88,35,46
4.8,7.8,65700,164,3.42,,
6.7,8.5,235,,3.1,,
6.7,8.3,262,,,,
6.8,7.8,227,,,,
6.8,8.5,249,,0.11,,
4.2,8.2,2754,42,,,
7.1,7.3,212,1.4,0.84,3,6
5,8.3,12771,4.1,1.48,7,30
6.7,8,304,1.5,0.18,1500,3550
5.8,7.7,1315,2.5,0.22,1900,6800
5.9,7.6,36593,3.9,0.07,1200,3200
7.6,7.7,1291,10,0.34,23,77
6,7.7,18865,3.6,3.12,900,2450
4.3,8.4,605,6.5,1.68,5,15
3.7,8.2,600,4.3,1.66,6,20
4.6,7.2,729,4,0.33,900,2300
6.2,8.4,2670,1.3,0.24,,
6.8,6.5,43,1.1,0.42,8,178
6.6,7,59,1.1,0.27,8,113
6,6.2,106,1.5,0.28,9,166
5.9,6.6,516,1.1,0.18,8,169
7.3,6.1,87,0.9,0.33,6,169
7.3,5.9,74,1.5,0.22,8,163
6.7,6.3,127,2,0.44,10,149
6.8,6.2,226,1.6,0.18,9,151
7.1,5.9,93,1.8,0.28,9,131
7.4,6.2,76,1.3,0.41,11,133
7.3,6.2,113,1.2,0.33,9,137
7.3,5.9,100,1.3,0.27,6,173
6,5.9,273,1.8,0.31,10,171
6.1,6.5,201,2,0.43,9,149
6.2,6.3,245,1.8,0.31,7,135
7,6.5,75,0.9,0.22,7,166
7.3,6,74,1.6,0.11,8,181
7.1,7.9,108,3.3,0.42,65,137
7.1,7.7,111,4.4,0.32,,
7,8,129,3.5,0.49,40,105
7,8,130,3.3,0.46,33,93
5.7,7.4,2323,6.3,1.47,400,541
5.9,7.6,462,4.9,2.47,23,63
7,7.7,107,3.8,0.4,131,285
6.2,7.4,299,5.1,0.95,209,401
5.9,7.8,33259,6.8,1.61,114,228
7.2,7.9,77,3.2,0.42,164,282
3.2,7.4,28018,46,1.67,908,1164
6.8,7.8,350,2.6,1.99,2,72
6.9,7.5,133,3.2,0.55,252,409
6.9,7.5,143,3.4,0.54,149,307
6.1,6.9,609,4.2,3.1,65,135
6.8,7.4,129,3.2,0.86,51,133
6.7,7.4,130,3.2,0.75,45,124
6.6,7.4,130,5,0.74,67,158
6.7,7.5,120,3.6,0.73,85,226
7.1,7.9,139,3.2,0.45,74,147
6,7.4,13925,59.1,3.08,4,116
6.7,7.7,274,2.3,2.04,5,88
6.3,7.9,326,2.5,2.32,2,71
6.3,7.9,7392,2.4,6.41,4,71
6.3,7.7,12051,4.4,5.37,4,102
7,8.3,162,3.8,0.48,44,90
7,8.3,212,3.6,0.44,47,90
7.1,8.3,227,3.2,0.48,67,124
6.8,8.2,314,4.3,0.45,28,69
6.8,7.8,151,3.4,0.5,601,740
7,7.8,123,3.4,0.44,42,100
6.9,7.8,139,3.3,0.76,85,169
6.8,8.2,313,4,0.49,49,99
6.7,7.8,215,2.5,0.83,2,51
6.7,7.8,204,2.5,0.77,2,68
6.9,7.7,205,2.2,0.93,2,55
7.1,6.9,72,0.5,0.25,278,641
6.6,6.9,70,0.9,0.49,223,495
6.9,7.1,52,0.8,0.18,46,520
7.2,7,830,0.8,0.16,94,654
6.3,6.9,95,1.3,0.99,750,1325
7.2,7.4,164,0.9,0.46,1325,2225
6.9,7.5,231,0.8,0.55,1000,1725
6.5,6.9,101,1.3,0.47,468,1127
7.1,7.1,64,0.6,0.4,283,646
7.1,7.1,4600,0.6,0.35,229,538
7.5,7.2,52,0.6,0.15,285,900
2,6.8,265,2.4,2.3,1525,5425
5.6,7,12769,1.2,0.41,725,1650
7.1,7,90,0.6,0.64,338,625
6.1,7,248,0.8,0.66,500,1150
6,7,94,1.1,0.13,183,370
6.5,7.5,76,0.8,0.08,275,585
1.5,6.6,192,3.6,0.92,881,2978
2,6.8,79,2.4,0.2,456,1275
7.2,7.1,52,0.6,0.15,298,687
4,7.5,25964,1.1,0.76,945,1588
7.2,7.3,54,0.9,0.25,330,610
0.8,7.1,1239,11.9,1.87,4250,11000
6.4,6.5,58,1.3,0.34,255,960
6.3,6.8,77,1.2,0.16,73,208
5.4,6.6,80,1.6,0.27,335,775
5.8,7.8,666,1,0.24,993,1650
6.6,7.2,12768,1.1,0.13,88,1412
7.7,7.2,44,1,0.28,29,148
7.1,7,27,0.4,0.11,73,218
7.3,7.2,59,0.6,0.19,160,465
7.8,7.1,119,0.7,0.87,875,1725
7.3,7.1,54,1.3,0.41,415,913
7,6.6,104,1.5,0.49,500,1000
6,7.2,92,0.7,0.38,765,1390
6.8,6.6,48,0.5,0.44,1225,2025
5.6,7.1,20455,0.6,0.58,433,675
7,7,56,1.1,0.43,768,1725
6.7,6.9,2531,0.5,0.22,308,465
6.2,7.2,15362,0.8,0.39,830,1303
7.3,7.2,62,0.8,0.95,525,985
7.6,7.2,59,0.6,0.65,463,1163
6.4,6.8,83,0.5,0.42,175,575
7,6.6,50,0.6,0.75,295,578
6.7,6.8,76,1.2,1.21,310,625
6.7,6.6,64,0.9,1.35,428,838
5.6,6.9,943,1.5,0.4,655,1925
7.4,7,38,0.9,0.26,386,1196
6.7,6.9,43,1,0.3,1043,2750
7.1,7.3,48,1.5,0.36,595,1775
6.2,6.8,309,1.6,0.39,1129,2725
5.2,6.8,61,1.8,0.33,1123,2650
6.8,6.9,995,1.1,0.24,349,1258
6.8,6.9,52,0.9,0.45,39,198
6.2,6.6,44,0.7,0.21,715,1630
4.5,6.5,77,1.1,0.34,400,2675
4,7,19279,0.9,0.03,98,233
7,7.4,69,1,0.12,230,660
6.5,6.8,58,0.5,0.24,303,1026
4.6,6.9,98,0.6,0.11,168,348
6.6,7.3,12327,0.6,0.71,1326,2210
7.1,7,51,1,0.78,750,1700
6.2,7.5,371,1.1,1.62,3,528
6.2,7.7,316,1.3,2.41,3,312
7.3,7.1,241,2.9,1.17,100,185
7.7,7.4,121,1.4,0.64,378,1255
6.5,7.3,64,1,2.6,236,420
6.9,7.4,57,1,1.28,46,409
7.5,8,211,1.9,0.39,3005,6858
7.2,8,263,3.7,0.63,6625,14725
7,7.6,111,1.6,0.67,1081,2743
7.5,7.9,205,1.5,1,1615,3542
7.1,7.7,283,2.3,1.73,2882,6692
7.4,8,263,1.7,0.65,3113,6617
8.1,8,300,2.3,0.45,2272,4569
7.8,8,13103,2.1,0.59,277,739
7.4,8,207,1.5,0.53,1356,2872
7.2,8,198,1.4,0.57,677,1850
6.5,8.1,729,1,0.65,,
3,8.1,1086,,0.1,,
6.9,8.2,10910,,0.02,,
6,8,17990,,0.07,,
4.8,7.7,48500,,0.34,,
6.3,7.6,830,1.8,0.24,738,2020
7.4,7.6,104,1.2,0.09,,
6.9,7.8,440,3.4,1.21,,
5.8,7.2,732,8.5,3.83,1089,4838
5.6,7.4,1322,15.3,15,16750,41500
5.4,7.3,809,10,4.2,4278,8975
5.7,7.3,1103,14.3,13.75,20250,52500
5.7,7.5,906,24,14.18,7863,17625
3.5,7.4,1064,20,13.2,8000,14500
3.2,7.6,1197,27.3,19.2,20250,40250
4.7,7.3,1383,32.8,16.4,14388,42875
4.8,7.4,1063,16,5.03,3138,8025
5.3,7.5,1532,18.3,15.8,27000,63500
5.6,7.5,1269,34.5,12.15,22000,60000
5.4,7.4,1194,22,8.3,10000,35000
6.1,6.8,780,14.7,,,
6.1,6.8,773,14.7,,,
6,7,820,15.3,,,
4.8,7.9,650,3.2,0.68,6,62
5,7.3,390,2.8,0.14,4,20
8.3,7.6,334,1,0.49,9,16
8.2,7.7,316,1.2,0.48,11,20
3.1,7.8,1261,195.4,4.78,,
8.3,7.6,304,1.2,0.51,12,20
5.5,7.6,743,7.6,1.02,81,166
5.1,7.8,657,1.7,0.26,6,23
5.3,7.8,623,1.7,,,
8.7,7.1,252,4.9,,,10
5.1,7.2,17,1,,,10
10,7.4,157,0.6,,,5
5.9,7,164,1.6,,,74
6.1,7.3,141,1.4,,,63
5.6,7.1,427,1.4,,,175
4.7,7,527,1.9,,,42
5.5,8.6,116,4.5,,,113
6.8,6.8,160,1.5,,,23
7,7.4,47,1,,,5
7.3,7.8,116,1.2,,,10
5.5,7.3,179,1.2,,,75
4.7,7.4,220,1.6,,,140
4.9,7,180,1.2,,,10
5.8,7.8,367,6.2,,,95
5.8,7.4,249,1,,,37
6.2,6.9,182,2.1,,,8
5.5,7.7,356,1.2,,,202
5.1,6.9,190,2.3,,,33
5.2,7.1,164,2.8,,,20
4.6,7,188,2.8,,,18
5.6,6.6,165,1.9,,,23
1.9,6.8,484,15.3,,,1075
2.5,7.1,424,16.7,,,682
5.5,6.9,118,2.8,,,10
6,7,100,4.2,,,10
4.9,6.9,93,3.6,,,25
4.8,7,167.1,2.8,,,
5.4,7.2,211,1.1,,,78
6,7.5,231,1.1,,,10
5.6,7.1,319,4.4,,,15
5.7,6.9,261,2.3,,,53
9.9,7.1,163,1,,,35
6.1,7.6,163,4.5,,,25
5.1,6.9,170,2.5,,,10
3.8,7,192,3,,,23
7.8,7.2,139,1.9,0.56,263,359
6.5,3.1,489,6.1,0.52,32,47
7.3,7,162,2.2,0.69,2085,2633
7.8,7.1,136,1.9,0.52,303,409
7.7,7.1,205,7,0.84,303,461
8.1,7.1,267,1,0.11,2,12
8,7,278,1.1,0.11,3,18
6.9,7.2,268,1.1,0.11,6,37
6.8,7.1,286,1.3,0.11,8,29
6.6,7.8,149,1.8,,209,340
6.3,8,164,3.4,0.3,380,528
6.6,7.9,196,4.4,0.8,425,648
5.6,7.5,15608,25,18.73,5,5
3.7,7.5,39503,13.5,25.71,,
4.7,7.6,46170,21.5,19.69,,
5.8,7.8,378,,2.61,,
6.6,7.7,489,,2.66,350,350
6.6,7.4,492,,3.6,,
6.2,7.8,359,,3.67,4,
5.8,7.7,8757,,10.45,4,4
5.1,8.1,533,3.7,0.45,3900,7500
7.1,8,555,2,0.35,7500,15000
6.8,8.2,26600,3.1,0.62,9000,23000
8.1,7.6,938,8.6,0.4,22,108
6.2,7.8,7778,2.7,0.26,2880,6581
,7.2,1440,46,0.2,80,330
3.2,7.7,885,6.3,0.51,3900,9575
6.6,6.5,58,1.8,0.87,0,53
6.6,6.6,145,1.5,0.65,4,98
6.3,6.6,55,1.8,0.36,8,140
6.4,6.4,188,2,0.44,15,153
6.9,6.2,61,1.7,1.07,7,117
7.2,6.1,62,2.6,0.92,8,123
6.9,6.6,154,1.9,0.83,17,173
7,6.3,742,1.6,0.42,8,139
7.6,6.2,62,1.1,0.38,12,160
7.1,6.2,69,1.4,0.56,7,141
6.8,6,93,1.9,0.75,9,136
7.1,6.2,89,1.4,0.68,6,119
6.3,6.2,110,1.5,0.59,8,157
6.2,7,77,1.8,0.46,11,173
6.2,6.8,67,1.7,0.61,8,145
6.9,6.5,62,1.4,0.6,10,107
6.7,6.2,62,0.9,0.57,8,187
6.8,7.9,119,3.5,0.58,286,517
7,7.7,88,3.2,0.13,8,17
6.9,7.3,70,3.4,0.19,,
7.4,7.2,77,3,0.23,,
7,7.4,3113,4,2.16,95,350
5.5,8.1,363,8.4,2.15,16,69
6.9,7.5,86,3.6,0.4,316,582
6.4,7.4,621,37.8,1.79,413,728
5.2,7.9,42354,9.5,1.1,126,253
6.9,7.4,73,3.5,0.27,482,659
3.4,7.4,17842,31.5,3.32,1767,1767
7.4,8.1,254,2.2,0.15,3,75
6.7,7.4,125,3.7,0.4,514,820
6.6,7.5,129,3.9,0.4,129,381
6.1,7.3,515,5.1,2.02,82,212
6.6,7.4,122,3.6,0.46,172,361
6.5,7.3,131,3.8,0.79,108,261
6.7,7.3,130,3.4,0.57,133,318
6.6,7.4,95,3.7,0.53,147,217
6.8,7.7,143,3.6,0.43,38,109
6.3,7.5,10825,2.9,1.93,5,101
7.1,7.4,185,2.2,0.63,4,80
6.7,7.5,1439,2.5,1.47,4,113
6.6,7.5,185,2.4,0.3,6,113
6.7,7.8,3521,2.4,1.02,3,90
7.1,7.7,193,3.1,0.53,41,92
7.1,7.9,175,3.1,0.47,31,86
7.1,7.8,174,3.3,0.44,33,83
7.2,7.5,308,4,0.15,,
6.4,7.7,153,3.6,0.77,504,592
7,7.7,111,3.4,0.42,179,359
6.6,7.6,209,3.4,0.68,97,243
7.5,8.2,296,3.5,0.14,,
6.9,7.5,119,2.2,0.42,2,71
6.8,7.7,116,2.3,1.33,3,74
7,7.7,118,2.1,0.5,3,64
5.2,6.6,453,1.5,0.38,644,4613
7.2,6.8,35,1.1,0.24,513,3483
7,7.1,62,0.5,0.44,385,617
7,7.1,5228,0.6,0.34,240,455
7.2,7,51,0.6,0.26,285,522
6.7,6.9,62,1.2,0.46,385,2193
6.5,6.5,118,1.1,0.52,610,3080
0.6,7,1787,14.1,1.49,8542,17500
6.6,6.8,49,0.9,0.56,448,913
6.8,7.3,67,0.6,0.4,598,935
7.3,7.4,104,0.6,0.44,245,430
6.5,6.7,39,1.2,0.26,562,4823
7.2,6.5,45,0.9,0.46,1225,1825
7.4,6.9,65,0.9,0.56,575,1455
6.5,6.5,60,1,1.62,420,900
6.6,6.9,57,0.9,0.37,319,650
7.1,7,84,1,0.66,985,1485
7.5,6.8,56,1.3,0.6,178,540
5.4,6.7,100,0.9,0.42,463,810
7,6.9,66,0.7,0.45,465,900
7.1,6.9,75,0.6,0.73,300,583
6.5,6.7,70,0.9,1.25,370,800
6.7,6.6,102,0.8,0.12,295,900
7.1,6.8,27,0.6,0.22,86,198
6.9,7.1,46,0.5,0.33,225,373
6.7,6.8,8291,1,0.53,108,250
6.2,7,12342,1.4,0.27,670,1600
7.5,7.3,53,0.8,0.31,1253,2225
7.6,7.3,62,1,0.63,1175,2180
2.2,6.4,625,2.3,1.29,1125,6505
7.4,6.7,55,0.7,0.51,281,1088
7,6.8,103,0.7,0.43,225,640
5.3,6.9,109,1.3,0.66,305,685
6.3,7,1392,0.7,0.85,230,535
6.7,7,71,0.5,0.29,208,433
6,6.4,57,1.4,0.61,193,303
4.2,6.6,93,1.7,0.56,253,385
5.1,6.7,88,1.9,0.63,405,713
5.3,6.4,4912,1.1,0.11,345,788
6.9,7,84,0.9,0.08,300,803
2.8,7.4,18256,1.6,0.47,1050,2300
5.3,7.2,9753,0.9,0.26,1600,2650
6.5,5.8,67,0.4,0.54,123,520
6.9,6.1,86,0.6,0.49,73,183
7,6.6,59,0.8,0.42,123,418
5.6,6.4,7904,1,0.4,165,278
6.8,6,55,0.5,0.25,590,910
6,5.9,105,1,0.63,73,195
6.3,7,2759,1.4,0.22,963,1400
6.5,7.6,312,1.1,2.41,3,354
6.4,7.7,203,1.1,3.34,3,357
7.3,7.3,308,4.2,2.43,116,185
6.8,7.8,23761,1.9,0.67,145,460
7.5,8.1,228,2.1,0.4,3390,5850
7.7,8.1,243,1.6,0.71,1930,4450
7.6,7.9,191,1.4,0.13,1188,1985
7.5,7.9,237,1.8,0.45,1225,2425
7.4,7.7,865,1.9,0.3,1300,2675
6.7,6.9,132,1.2,0.32,953,1823
7.1,7.9,211,1.4,0.48,1065,2098
6.7,7.9,182,1.1,0.24,735,1510
7.4,8.8,434,2,0.05,,
6.4,8.3,565,2,0.05,,
6.9,8.8,238,4,0.05,,
6.3,6.6,425,,,,
7.4,7,75,1.6,0.05,78,118
7.2,6.8,70,1.8,0.09,78,148
6.6,7,119,2.5,0.33,233,374
6.9,7,236,1.9,0.25,83,157
7,6.9,73,1.7,0.4,87,144
7.2,6.9,75,1.5,0.2,83,128
6.9,7.2,385,2.3,0.13,108,196
6.4,7.6,860,3.3,0.4,253,379
7.6,6.6,166,2,1.8,90,140
6.9,7.2,308,1.9,0.49,60,170
6.8,6.7,247,2.1,1.84,280,500
6.6,6.9,359,2.3,0.59,110,280
6.5,7.6,450,18,12,,
6.1,7.8,825,16,14,,
6.5,8.4,240,2.7,0.62,,
6.9,7.8,480,18,16,,
5.6,6.7,807,10.8,2,1825,7500
4.9,6.8,1097,26.5,4.8,14000,46250
4.9,6.6,834,13.1,2.6,2875,9500
5.2,6.7,1027,28,5.9,17500,57500
3.3,7.9,897,1.3,0.97,5,12
4.9,8,510,1.2,0.35,4,8
5,6.9,1172,25.5,3.8,15500,48750
4.8,7.8,599,534.5,3.75,2200,5000
4.7,6.7,906,25.3,7.7,23500,47500
5.4,6.8,883,15.4,5.1,9500,21750
5.1,7.6,1069,26.5,6.6,20250,49250
4.2,7.6,1168,31.8,7.6,20000,46500
4.8,6.6,905,15,3.3,6000,10500
4.5,6.6,1269,30.3,4.1,21000,42750
4.7,6.7,1216,26.8,3.7,13250,31500
5.2,7.3,465,0.9,0.59,4,9
7.8,8.2,410,1.2,0.1,16,32
6.7,8.12,396,1.53,0.15,10,29
8,8.1,403,0.8,0.1,12,25
4.88,7.94,149,2.65,,,165
5.67,7.02,153,1.67,,,22
6,6.9,300,2.23,,,91
6.15,7.45,234,2,,,222
2.7,7.35,357,8.45,,,636
2.98,7.52,422,5.53,,,531
5.48,7.42,180,2.08,,,136
5.13,7.46,162,2.23,,,211
7.85,7.13,254,6.68,3.35,345,488
6.58,6.5,655,5.93,4,40,60
7.58,7.03,191,2.08,2.65,2350,2900
8.23,7.05,137,1.4,3.2,243,323
8.23,7.38,143,1.55,3.55,255,360
6.6,7.3,210,1.3,,8.5,242
6.8,7.2,220,1.5,,,97
6.8,7,317,1.5,,8,45
6.4,6.7,323,1.4,,19,205
6.5,7.7,146,1.6,,302,390
6.2,7.7,176,3.5,0.2,532,592
6.3,8,198,4.2,0.3,524,686
7.3,7.4,332,0.7,0.3,6,12
6.5,7.5,21417,16.4,0.4,15,37
6.1,7.3,11855,12.5,18.6,180,902
6.3,7.4,24506,136,16.9,158,698
5.9,7.5,25343,56.5,7.7,180,1800
6.6,7.8,371,,4.1,180,1800
6.2,7.4,368,8,3.2,265,1075
6.7,7.7,354,4,2.6,137,947
6.8,8,374,21,1.5,180,1800
5.9,7.4,7173,12,58.1,7,607
7.3,7.4,332,0.7,0.3,6,12
5.7,8,601,7.4,0.5,14600,28666
4.7,8.3,753,3.7,0.5,9166,21333
5.8,7.8,16177,3,0.5,10100,25000
2.5,7.5,1108,6,0.6,16,85
6.1,8.1,14921,3.2,0.3,4300,23625
0.6,7.1,3115,36.5,1.7,4450,15425
3.2,7.8,5073,5.8,0.2,833,1366
4.2,8.2,901,6.7,0.4,9750,21500
2.9,8.3,11405,5.6,0.1,49,148
5,7.7,47156,3.1,0.1,41,114
7.2,6.3,14100,1.6,0.41,13,17
5.5,7.8,401,1.3,0.21,2,5
6.2,6.9,11000,1.3,0.48,13,17
6.5,6.8,30190,2.3,0.04,5,8
8.1,7.7,7400,2.6,0.1,79,130
7.8,6.4,609,2.3,0.08,49,70
7.8,6.4,90,2,,13,17
7.2,6.5,8240,1.6,0.25,17,46
4.2,7.6,5543,0.7,0.18,2,8
6.5,6.4,505,1.6,0.13,8,13
7.4,6.9,3844,2,0.15,5,10
5.4,7,7692,1.7,0.92,29,48
6.6,7.2,692,1.9,0.34,105,175
5.1,7.5,,2.3,0.38,1201,1754
7.3,6.8,20640,2.5,0.42,87,162
7.2,6.9,5350,2.2,0.28,134,206
7,6.8,4800,3,0.32,69,126
5.5,7.7,8092,7.6,0.72,410,800
6.9,7.6,136,3.8,0.26,143,309
6.9,7.7,120,3.9,0.37,207,280
6.7,8,111,3.6,0.31,45,143
6.9,7.3,229,3.8,0.68,108,257
6.8,7.5,171,3.8,0.34,88,199
6.9,7.3,183,2.2,1.25,2,56
3.3,7.6,29464,19.4,1.78,1195,1536
5.4,7.2,925,11.7,0.78,279,512
6.2,7.2,13848,2.5,4.11,6,127
7,7.4,225,3.8,0.26,152,375
6.6,8.1,102,3.9,0.26,165,345
8.1,6.3,1414,1.1,0.31,100,690
6.9,6.8,41,0.8,0.22,261,1487
6.9,6.9,78,0.5,0.23,393,703
6.7,6.9,5507,0.6,0.28,433,715
7.3,7,49,0.7,0.66,228,445
6.7,6.7,67,1.3,0.4,309,1025
6.5,6.6,109,1.2,0.37,142,679
0.7,6.6,4235,12.5,1.48,40833,59417
6.9,6.5,108,1,0.42,540,1083
6.4,6.6,48,1,0.25,154,603
7.2,6.7,109,0.8,0.44,1000,1400
6.8,7.1,61,1.5,0.5,130,485
6.1,6.7,244,0.9,0.33,655,1113
6.8,7,62,0.6,0.93,240,434
7.1,7,59,0.8,0.71,540,890
7.4,6.6,64,0.7,0.29,288,1425
6.4,7,79,0.8,0.73,271,493
7.2,6.7,73,0.9,0.28,335,2150
6.2,7,83,0.6,0.93,282,505
6.1,6.7,55,1.4,0.55,825,1450
6.6,6.5,79,0.8,0.13,195,650
6.9,6.7,198,0.3,0.2,40,180
7.3,6.5,44,0.5,0.21,233,400
6.2,6.6,15738,1,0.93,233,360
5.2,7.1,18459,1,0.13,518,918
7.4,7,45,1.1,0.11,1043,1933
7.6,6.7,52,1.1,0.11,613,963
2.9,6.3,841,2,1.07,430,913
6.6,6.7,72,0.7,0.32,463,1655
6.4,6.7,122,0.7,0.34,343,1630
5.4,6.6,102,0.9,0.26,240,1913
6.2,7,5656,0.9,1.05,162,289
6.9,7.1,71,0.5,0.26,125,246
6.7,6.5,55,0.9,0.6,265,500
5.7,6.7,127,1.9,0.35,221,473
6,6.9,77,1.8,0.61,290,500
5.2,6.1,4968,1.1,0.14,235,820
7.4,6.4,78,1.2,0.12,280,720
3.5,7.3,20430,1.3,0.62,560,1290
6,7.1,13257,1.1,0.14,750,1465
6.4,6.1,62,0.7,0.28,213,425
6.6,6.3,59,1,0.16,248,385
