iter	Passed	Remaining
799	4427	12175
800	4433	12170
801	4438	12164
802	4443	12158
803	4448	12151
804	4453	12144
805	4459	12139
806	4465	12133
807	4470	12127
808	4475	12119
809	4480	12113
810	4486	12108
811	4491	12102
812	4496	12096
813	4502	12090
814	4507	12085
815	4513	12079
816	4518	12072
817	4523	12067
818	4528	12060
819	4534	12054
820	4539	12049
821	4545	12044
822	4551	12038
823	4556	12033
824	4562	12028
825	4568	12023
826	4573	12017
827	4579	12011
828	4584	12006
829	4590	12002
830	4596	11996
831	4601	11990
832	4606	11984
833	4611	11977
834	4616	11969
835	4621	11963
836	4626	11956
837	4632	11951
838	4638	11946
839	4644	11942
840	4649	11936
841	4655	11931
842	4661	11927
843	4667	11922
844	4673	11918
845	4677	11910
846	4683	11905
847	4688	11897
848	4693	11891
849	4699	11886
850	4705	11881
851	4710	11876
852	4716	11870
853	4721	11864
854	4726	11858
855	4732	11852
856	4737	11847
857	4742	11840
858	4748	11834
859	4753	11828
860	4759	11823
861	4764	11818
862	4770	11812
863	4776	11807
864	4782	11803
865	4787	11798
866	4793	11793
867	4799	11787
868	4804	11782
869	4810	11776
870	4815	11770
871	4820	11764
872	4826	11759
873	4831	11752
874	4836	11746
875	4841	11740
876	4847	11734
877	4852	11728
878	4857	11721
879	4863	11715
880	4868	11709
881	4873	11703
882	4878	11697
883	4884	11691
884	4889	11685
885	4895	11680
886	4900	11674
887	4905	11667
888	4911	11662
889	4916	11656
890	4921	11649
891	4926	11643
892	4932	11637
893	4937	11631
894	4942	11625
895	4948	11619
896	4953	11613
897	4959	11608
898	4964	11602
899	4969	11595
900	4974	11589
901	4980	11583
902	4985	11577
903	4990	11570
904	4995	11564
905	5001	11559
906	5006	11552
907	5012	11548
908	5018	11543
909	5023	11538
910	5029	11532
911	5035	11527
912	5039	11520
913	5045	11514
914	5050	11508
915	5055	11501
916	5060	11496
917	5065	11489
918	5070	11482
919	5075	11475
920	5081	11469
921	5086	11464
922	5092	11458
923	5097	11452
924	5102	11446
925	5107	11440
926	5113	11435
927	5119	11430
928	5125	11425
929	5130	11419
930	5136	11414
931	5141	11408
932	5147	11402
933	5152	11397
934	5158	11392
935	5163	11386
936	5168	11380
937	5175	11376
938	5181	11372
939	5186	11366
940	5193	11363
941	5199	11358
942	5205	11355
943	5212	11351
944	5218	11347
945	5224	11342
946	5229	11337
947	5235	11332
948	5241	11327
949	5246	11322
950	5252	11317
951	5258	11312
952	5263	11306
953	5269	11301
954	5276	11297
955	5281	11292
956	5287	11287
957	5293	11283
958	5299	11278
959	5304	11272
960	5310	11267
961	5316	11263
962	5322	11258
963	5328	11253
964	5334	11248
965	5340	11244
966	5346	11239
967	5351	11234
968	5357	11229
969	5363	11224
970	5369	11219
971	5375	11214
972	5381	11210
973	5386	11205
974	5393	11201
975	5399	11196
976	5405	11192
977	5411	11188
978	5417	11183
979	5423	11178
980	5429	11174
981	5435	11169
982	5441	11164
983	5447	11159
984	5452	11154
985	5458	11149
986	5464	11144
987	5470	11140
988	5476	11135
989	5482	11130
990	5488	11127
991	5494	11122
992	5500	11117
993	5506	11112
994	5512	11108
995	5518	11104
996	5524	11099
997	5530	11095
998	5536	11090
999	5542	11085
1000	5549	11081
1001	5554	11076
1002	5560	11071
1003	5566	11067
1004	5573	11063
1005	5579	11059
1006	5585	11055
1007	5592	11050
1008	5598	11046
1009	5604	11042
1010	5610	11037
1011	5616	11033
1012	5622	11028
1013	5628	11023
1014	5634	11019
1015	5640	11014
1016	5646	11009
1017	5652	11004
1018	5657	10999
1019	5663	10994
1020	5669	10988
1021	5675	10983
1022	5680	10978
1023	5686	10973
1024	5692	10968
1025	5698	10964
1026	5704	10958
1027	5709	10952
1028	5715	10947
1029	5721	10942
1030	5727	10937
1031	5732	10931
1032	5737	10925
1033	5743	10919
1034	5748	10914
1035	5754	10909
1036	5760	10904
1037	5766	10899
1038	5772	10894
1039	5778	10890
1040	5784	10885
1041	5790	10880
1042	5797	10877
1043	5803	10872
1044	5808	10867
1045	5814	10862
1046	5821	10858
1047	5827	10853
1048	5832	10847
1049	5837	10840
1050	5841	10833
1051	5847	10827
1052	5852	10820
1053	5857	10814
1054	5862	10808
1055	5867	10802
1056	5873	10796
1057	5878	10790
1058	5884	10785
1059	5890	10780
1060	5896	10776
1061	5902	10771
1062	5908	10766
1063	5914	10761
1064	5919	10755
1065	5924	10747
1066	5929	10741
1067	5935	10736
1068	5941	10731
1069	5946	10725
1070	5952	10720
1071	5957	10714
1072	5962	10708
1073	5968	10703
1074	5974	10697
1075	5979	10691
1076	5984	10685
1077	5990	10680
1078	5995	10674
1079	6001	10669
1080	6006	10663
1081	6012	10657
1082	6017	10652
1083	6023	10646
1084	6028	10640
1085	6034	10635
1086	6039	10629
1087	6045	10623
1088	6051	10618
1089	6056	10613
1090	6062	10607
1091	6068	10602
1092	6073	10597
1093	6079	10591
1094	6085	10586
1095	6091	10581
1096	6097	10576
1097	6102	10571
1098	6108	10566
1099	6114	10561
1100	6120	10556
1101	6126	10551
1102	6132	10546
1103	6138	10541
1104	6144	10537
1105	6149	10531
1106	6155	10525
1107	6161	10520
1108	6167	10516
1109	6173	10511
1110	6178	10505
1111	6184	10500
1112	6190	10495
1113	6196	10490
1114	6202	10485
1115	6208	10480
1116	6214	10475
1117	6219	10469
1118	6225	10464
1119	6230	10458
1120	6236	10452
1121	6242	10448
1122	6248	10444
1123	6254	10438
1124	6259	10433
1125	6265	10427
1126	6271	10422
1127	6276	10416
1128	6282	10410
1129	6287	10405
1130	6293	10399
1131	6299	10394
1132	6304	10389
1133	6310	10383
1134	6316	10379
1135	6323	10375
1136	6329	10370
1137	6335	10366
1138	6341	10360
1139	6347	10356
1140	6353	10351
1141	6359	10346
1142	6364	10340
